127.0.0.1 - - [28/Mar/2018:16:17:00 +0800] "GET / HTTP/1.1" 200 4420
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:17:38 +0800] "GET /jarv/pc/index HTTP/1.1" 404 344
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:17:53 +0800] "GET /login.jsp HTTP/1.1" 200 4420
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:17:53 +0800] "GET /css/images/index/ltop.jpg HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:17:53 +0800] "GET /css/images/index/llogo.jpg HTTP/1.1" 200 24056
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:17:53 +0800] "GET /css/images/index/line.jpg HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:17:53 +0800] "GET /css/images/index/ltitle.jpg HTTP/1.1" 200 16718
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:17:53 +0800] "GET /css/images/index/login.jpg HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:17:53 +0800] "GET /css/images/index/reset.jpg HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:17:53 +0800] "GET /css/images/index/bg.jpg HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:02 +0800] "POST /userAction!login.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:03 +0800] "GET /index.jsp HTTP/1.1" 200 3790
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:03 +0800] "GET /images/360fc/bg.jpg HTTP/1.1" 404 344
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:03 +0800] "POST /layout/north.jsp HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:03 +0800] "POST /layout/center.jsp HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:03 +0800] "POST /layout/south.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:03 +0800] "POST /layout/west.jsp HTTP/1.1" 200 5047
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:04 +0800] "POST /menuAction!treeRecursive.action?id=091c9088-c4fa-ab2d-7f80-d1310b03ed01 HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:04 +0800] "POST /menuAction!treeRecursive.action?id=c32570e8-9bc0-0887-4f69-7b5128e2a331 HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:04 +0800] "POST /menuAction!treeRecursive.action?id=7924309f-f1c8-4618-39ff-463df09a3a18 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:04 +0800] "POST /menuAction!treeRecursive.action?id=7bb7268b-9a24-40e0-50b9-b177d87227c1 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:04 +0800] "POST /menuAction!treeRecursive.action?id=xtgl HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:04 +0800] "POST /menuAction!treeRecursive.action?id=f6507ed3-0fba-4c30-0955-0cdbf1045df8 HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:04 +0800] "POST /menuAction!treeRecursive.action?id=sjkgl HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:04 +0800] "POST /menuAction!treeRecursive.action?id=5159762c-a7f6-e59d-70e5-bd999c98952d HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:04 +0800] "POST /menuAction!treeRecursive.action?id=94cc37b7-aef5-4333-049f-8adef2b0ccf3 HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:05 +0800] "GET /companyAction!goCompany.action HTTP/1.1" 200 16289
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:06 +0800] "GET /jslib/jquery-easyui-1.3/themes/icons/pencil.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:06 +0800] "POST /companyAction!datagrid.action HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:18:20 +0800] "GET /articleAction!goArticle.action HTTP/1.1" 200 23950
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:55:54 +0800] "GET /jslib/jquery-easyui-1.3/themes/icons/ho.png HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:55:56 +0800] "GET /jslib/jquery-easyui-1.3/themes/icons/rmb.png HTTP/1.1" 200 1094
